year,ethnicity,women_proportion
2000,EastAsian,0.3447098976109215
2000,French,0.11875
2000,Germanic,0.09032258064516129
2000,Hispanic,0.18439716312056736
2000,Italian,0.2062780269058296
2000,Japanese,0.10909090909090909
2000,\N,0.15690376569037656
2000,Nordic,0.13636363636363635
2001,EastAsian,0.2957393483709273
2001,French,0.17209302325581396
2001,Germanic,0.08620689655172414
2001,Hispanic,0.18787878787878787
2001,Italian,0.20522388059701493
2001,Japanese,0.12777777777777777
2001,\N,0.17353077279037482
2001,Nordic,0.08
2002,EastAsian,0.3078817733990148
2002,French,0.15789473684210525
2002,Germanic,0.08808290155440414
2002,Hispanic,0.21019108280254778
2002,Italian,0.19262295081967212
2002,Japanese,0.1518987341772152
2002,\N,0.15587967183226983
2002,Nordic,0.08620689655172414
2003,EastAsian,0.3421461897356143
2003,French,0.13452914798206278
2003,Germanic,0.09090909090909091
2003,Hispanic,0.19597989949748743
2003,Italian,0.2
2003,Japanese,0.18691588785046728
2003,\N,0.1686698717948718
2003,Nordic,0.07964601769911504
2004,EastAsian,0.37089201877934275
2004,French,0.12727272727272726
2004,Germanic,0.12322274881516587
2004,Hispanic,0.1715686274509804
2004,Italian,0.15170278637770898
2004,Japanese,0.1590909090909091
2004,\N,0.1553903345724907
2004,Nordic,0.07936507936507936
2005,EastAsian,0.3682842287694974
2005,French,0.17204301075268819
2005,Germanic,0.1276595744680851
2005,Hispanic,0.1947565543071161
2005,Italian,0.1876675603217158
2005,Japanese,0.1617161716171617
2005,\N,0.15768401601478288
2005,Nordic,0.09202453987730061
2006,EastAsian,0.36078782452999103
2006,French,0.18181818181818182
2006,Germanic,0.13636363636363635
2006,Hispanic,0.17120622568093385
2006,Italian,0.21122994652406418
2006,Japanese,0.14671814671814673
2006,\N,0.17516697024893746
2006,Nordic,0.09701492537313433
2007,EastAsian,0.37149187592319055
2007,French,0.14121037463976946
2007,Germanic,0.10333333333333333
2007,Hispanic,0.1492063492063492
2007,Italian,0.22705314009661837
2007,Japanese,0.09454545454545454
2007,\N,0.15311135371179038
2007,Nordic,0.08333333333333333
2008,EastAsian,0.3614369501466276
2008,French,0.14482758620689656
2008,Germanic,0.134375
2008,Hispanic,0.1574074074074074
2008,Italian,0.18333333333333332
2008,Japanese,0.16877637130801687
2008,\N,0.171900826446281
2008,Nordic,0.1276595744680851
2009,EastAsian,0.36725375081539463
2009,French,0.1592920353982301
2009,Germanic,0.12333333333333334
2009,Hispanic,0.15335463258785942
2009,Italian,0.20253164556962025
2009,Japanese,0.1423611111111111
2009,\N,0.17457084666860634
2009,Nordic,0.11382113821138211
2010,EastAsian,0.36382252559726963
2010,French,0.18263473053892215
2010,Germanic,0.12012987012987013
2010,Hispanic,0.1501597444089457
2010,Italian,0.2202247191011236
2010,Japanese,0.14963503649635038
2010,\N,0.17299229922992299
2010,Nordic,0.17037037037037037
2011,EastAsian,0.36219178082191783
2011,French,0.2254335260115607
2011,Germanic,0.11267605633802817
2011,Hispanic,0.16624685138539042
2011,Italian,0.19789473684210526
2011,Japanese,0.1978798586572438
2011,\N,0.18321167883211678
2011,Nordic,0.17575757575757575
2012,EastAsian,0.36229415105053947
2012,French,0.1903323262839879
2012,Germanic,0.1568627450980392
2012,Hispanic,0.16279069767441862
2012,Italian,0.23170731707317074
2012,Japanese,0.19292604501607716
2012,\N,0.18707660239708182
2012,Nordic,0.19444444444444445
2013,EastAsian,0.3613518197573657
2013,French,0.21238938053097345
2013,Germanic,0.1402116402116402
2013,Hispanic,0.16152019002375298
2013,Italian,0.19859402460456943
2013,Japanese,0.20527859237536658
2013,\N,0.18719211822660098
2013,Nordic,0.1595744680851064
2014,EastAsian,0.36941501612160293
2014,French,0.16939890710382513
2014,Germanic,0.1661631419939577
2014,Hispanic,0.18453865336658354
2014,Italian,0.1913214990138067
2014,Japanese,0.17699115044247787
2014,\N,0.188755980861244
2014,Nordic,0.17857142857142858
2015,EastAsian,0.35912021236253316
2015,French,0.17539863325740318
2015,Germanic,0.14698162729658792
2015,Hispanic,0.1579925650557621
2015,Italian,0.21739130434782608
2015,Japanese,0.19743589743589743
2015,\N,0.1875259013675922
2015,Nordic,0.16149068322981366
2016,EastAsian,0.37118578601776747
2016,French,0.1732283464566929
2016,Germanic,0.1724137931034483
2016,Hispanic,0.19772727272727272
2016,Italian,0.22381930184804927
2016,Japanese,0.19498607242339833
2016,\N,0.2044474699341956
2016,Nordic,0.11834319526627218
