Cod_setor,lider_masculino,lider_feminino,porcentagem_lideres_femininos
250010605000001,277,157,36.175115207373274
250010605000002,89,59,39.86486486486486
250010605000003,156,139,47.11864406779661
250010605000004,173,44,20.276497695852534
250010605000005,102,97,48.743718592964825
250010605000006,69,88,56.05095541401274
250010605000007,67,31,31.63265306122449
250010605000008,101,30,22.900763358778626
250010605000009,137,44,24.30939226519337
250010605000010,114,30,20.833333333333336
250010605000011,213,117,35.45454545454545
250010605000012,36,13,26.53061224489796
250010605000013,24,14,36.84210526315789
250010605000014,100,38,27.536231884057973
250020505000001,193,120,38.33865814696485
250020505000002,153,83,35.16949152542373
250020505000003,80,21,20.792079207920793
250020505000004,76,9,10.588235294117647
250020505000005,32,3,8.571428571428571
250020505000006,113,39,25.657894736842106
250020505000007,100,25,20
250020505000008,53,6,10.16949152542373
250020505000009,161,68,29.694323144104807
250020505000010,9,1,10
250020505000011,203,111,35.35031847133758
250030405000001,128,108,45.76271186440678
250030405000002,180,165,47.82608695652174
250030405000003,174,120,40.816326530612244
250030405000004,72,62,46.26865671641791
250030405000005,116,62,34.831460674157306
250030405000006,79,76,49.03225806451613
250030405000007,135,67,33.16831683168317
250030405000008,145,96,39.83402489626556
250030405000009,191,126,39.74763406940063
250030405000010,186,174,48.333333333333336
250030405000011,32,102,76.11940298507463
250030405000012,132,55,29.411764705882355
250030405000013,102,60,37.03703703703704
250030405000014,20,51,71.83098591549296
250030405000015,177,150,45.87155963302752
250030405000016,127,162,56.05536332179931
250030405000017,29,3,9.375
250030405000018,252,122,32.62032085561498
250030405000019,105,40,27.586206896551722
250030405000020,79,23,22.54901960784314
250030405000021,53,38,41.75824175824176
250030405000022,35,26,42.62295081967213
250030405000023,43,21,32.8125
250030405000024,6,0,0
250030405000025,46,67,59.29203539823009
250030405000026,6,2,25
250030405000027,52,22,29.72972972972973
250030405000028,151,38,20.105820105820104
250030405000029,109,39,26.351351351351347
250030405000030,216,79,26.779661016949152
250030405000031,60,282,82.45614035087719
250030405000032,75,28,27.184466019417474
250030405000033,62,17,21.518987341772153
250030405000034,51,43,45.744680851063826
250030405000035,60,9,13.043478260869565
250030405000036,173,24,12.18274111675127
250030405000037,86,96,52.74725274725275
250030405000038,120,85,41.46341463414634
250030405000039,119,89,42.78846153846153
250030405000040,209,133,38.88888888888889
250030405000041,92,86,48.31460674157304
250030405000042,144,88,37.93103448275862
250030405000043,99,97,49.48979591836735
250030405000044,109,142,56.573705179282875
250040305000001,200,116,36.708860759493675
250040305000002,205,125,37.878787878787875
250040305000003,242,124,33.87978142076503
250040305000004,113,240,67.98866855524079
250040305000005,118,84,41.584158415841586
250040305000006,195,133,40.54878048780488
250040305000007,196,187,48.825065274151434
250040305000008,122,98,44.54545454545455
250040305000009,104,18,14.754098360655737
250040305000010,112,15,11.811023622047244
250040305000011,254,82,24.404761904761905
250040305000012,76,31,28.971962616822427
250040305000013,105,29,21.641791044776117
250040305000014,140,90,39.130434782608695
250040305000015,231,63,21.428571428571427
250040305000016,169,33,16.33663366336634
250040305000017,91,37,28.90625
250040305000018,299,65,17.857142857142858
250040305000019,66,19,22.35294117647059
250040305000020,171,51,22.972972972972975
250040305000021,130,32,19.753086419753085
250040305000022,68,20,22.727272727272727
250040305000023,83,71,46.103896103896105
250040305000024,126,55,30.386740331491712
250050205000001,177,96,35.16483516483517
250050205000002,143,121,45.83333333333333
250050205000003,167,106,38.82783882783883
250050205000004,225,118,34.40233236151604
250050205000005,206,120,36.809815950920246
250050205000006,221,147,39.94565217391305
250050205000007,176,133,43.042071197411005
250050205000008,212,108,33.75
250050205000009,78,23,22.772277227722775
250050205000010,108,31,22.302158273381295
250050205000011,72,27,27.27272727272727
250050205000012,82,37,31.092436974789916
250050205000013,120,29,19.463087248322147
250050205000014,70,23,24.731182795698924
250050205000015,48,6,11.11111111111111
250050205000016,30,68,69.38775510204081
250050205000017,167,54,24.43438914027149
250050205000018,62,19,23.456790123456788
250050205000019,40,16,28.57142857142857
