name,currency_valuation_2017,currency_valuation_2018,big_mac_price
Argentina,-0.222,-0.25,3.96039603960396
Australia,-0.146,-0.109,4.70613499966375
Brazil,-0.037,-0.032,5.11168251804579
Britain,-0.224,-0.164,4.41304599875552
Canada,-0.122,-0.004,5.25724375953126
Chile,-0.275,-0.187,4.29088928680469
China,-0.45,-0.399,3.17164179104478
Colombia,-0.388,-0.274,3.83246839092584
Costa Rica,-0.245,-0.237,4.02793168346437
Czech Republic,-0.381,-0.279,3.80777943799104
Denmark,-0.131,-0.066,4.93202031992372
Egypt,-0.669,-0.634,1.93276836158192
Euro area,-0.158,-0.084,4.8357874973246
Hong Kong,-0.536,-0.503,2.62181864688579
Hungary,-0.395,-0.351,3.42663850530346
India,-0.48,-0.466,2.81861065982893
Indonesia,-0.547,-0.539,2.43281682760686
Israel,-0.099,-0.091,4.80160635558078
Japan,-0.366,-0.35,3.43192594265071
Malaysia,-0.622,-0.569,2.27617602427921
Mexico,-0.48,-0.513,2.57186486993329
New Zealand,-0.164,-0.146,4.51019000139252
Norway,0.116,0.182,6.24195870116304
Pakistan,-0.327,-0.357,3.39351160580969
Peru,-0.391,-0.381,3.26899128268991
Philippines,-0.5,-0.5,2.64169541646131
Poland,-0.486,-0.438,2.96557292813624
Russia,-0.57,-0.566,2.29095074455899
Saudi Arabia,-0.396,-0.394,3.19974402047836
Singapore,-0.233,-0.169,4.38546746814865
South Africa,-0.573,-0.536,2.44735135399714
South Korea,-0.275,-0.221,4.11503390226795
Sri Lanka,-0.288,-0.286,3.77113133940182
Sweden,0.098,0.16,6.12311068987879
Switzerland,0.272,0.281,6.76484362803768
Taiwan,-0.573,-0.558,2.33478834636078
Thailand,-0.34,-0.295,3.7245696400626
Turkey,-0.433,-0.465,2.82701309630253
UAE,-0.281,-0.278,3.81159814865233
Ukraine,-0.68,-0.69,1.6367752045969
United States,0,0,5.28
Uruguay,-0.146,-0.072,4.89853044086774
Vietnam,-0.502,-0.458,2.86198621843559
